season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
2025,REG,0,Derrick Henry,RB,BAL,3.5508390243902443,39.189189189189186,2.777940594059406,222,1025,4.617117117117117,10,00-0032764,Derrick,Henry,22,D.Henry,865.1613278637084,149.83867213629162,0.6810848733467801,0.37272727272727274
2025,REG,0,Bam Knight,RB,ARI,5.132656826568266,25.925925925925924,3.0519999999999987,81,271,3.345679012345679,4,00-0037157,Zonovan,Knight,20,Z.Knight,311.86438448881165,-44.86438448881165,-0.5608048061101456,0.3875
2025,REG,0,Bhayshul Tuten,RB,JAX,4.484512635379063,29.87012987012987,2.8733043478260862,77,277,3.5974025974025974,4,00-0040719,Bhayshul,Tuten,33,B.Tuten,292.00177453812165,-15.001774538121651,-0.19482824075482663,0.4025974025974026
2025,REG,0,Kyle Monangai,RB,CHI,3.4627932098765437,17.037037037037038,2.5983252032520334,135,648,4.8,5,00-0040236,Kyle,Monangai,25,K.Monangai,581.1887064742749,48.81129352572509,0.3726052940895045,0.40458015267175573
2025,REG,0,Quinshon Judkins,RB,CLE,4.0659693877551,45.714285714285715,2.9809623655913975,210,784,3.7333333333333334,7,00-0040784,Quinshon,Judkins,10,Q.Judkins,686.8572446026301,87.14275539736991,0.423023084453252,0.3932038834951456
2025,REG,0,Javonte Williams,RB,DAL,3.2575146771037184,23.25581395348837,2.8297389162561575,215,1022,4.753488372093023,9,00-0036997,Javonte,Williams,33,J.Williams,905.297890785539,114.70210921446096,0.5359911645535559,0.4252336448598131
2025,REG,0,Nick Chubb,RB,HOU,3.5382838983050866,23.47826086956522,2.65945871559633,115,472,4.104347826086957,3,00-0034791,Nicholas,Chubb,21,N.Chubb,413.5293201028501,49.47067989714992,0.4377936274084064,0.40707964601769914
2025,REG,0,David Montgomery,RB,DET,3.4424212271973462,36.434108527131784,2.627658333333334,129,603,4.674418604651163,7,00-0035685,David,Montgomery,5,D.Montgomery,490.0025437945191,109.99745620548089,0.8593551266053194,0.359375
2025,REG,0,TreVeyon Henderson,RB,NE,3.600576,25.581395348837212,2.8826864406779658,129,625,4.844961240310077,5,00-0040734,TreVeyon,Henderson,32,T.Henderson,545.1330851221063,76.86691487789369,0.6052512982511314,0.3700787401574803
2025,REG,0,Isiah Pacheco,RB,KC,3.659386666666667,13.333333333333334,2.6999999999999997,90,375,4.166666666666667,1,00-0037197,Isiah,Pacheco,10,I.Pacheco,388.47305464816407,-19.473054648164066,-0.2212847119109553,0.4090909090909091
2025,REG,0,Cam Skattebo,RB,NYG,3.7396097560975603,23.762376237623762,2.5662473118279574,101,410,4.0594059405940595,5,00-0040715,Cameron,Skattebo,44,C.Skattebo,363.98721720826364,43.012782791736356,0.43012782791736354,0.46
2025,REG,0,Chris Rodriguez Jr.,RB,WAS,3.251236559139785,38.2716049382716,2.590246575342467,81,372,4.592592592592593,4,00-0038611,Christopher,Rodriguez,36,C.Rodriguez,309.1189137681799,62.88108623182012,0.7763097065656805,0.43209876543209874
2025,REG,0,Kyren Williams,RB,LAR,3.2775945378151286,20.918367346938776,2.6095957446808526,196,952,4.857142857142857,8,00-0037840,Kyren,Williams,23,K.Williams,808.2658888409454,114.73411115905458,0.5975734956200759,0.4791666666666667
2025,REG,0,Bijan Robinson,RB,ATL,3.957937095282146,13.953488372093023,3.050422110552763,215,1081,5.027906976744186,5,00-0038542,Bijan,Robinson,7,B.Robinson,957.4471284478144,116.5528715521856,0.5471965800572094,0.4413145539906103
2025,REG,0,Bucky Irving,RB,TB,4.669575070821529,16.50485436893204,2.7804494382022478,103,353,3.4271844660194173,1,00-0039361,Mar'Keise,Irving,7,B.Irving,401.1846484585085,-57.18464845850849,-0.5718464845850849,0.38
2025,REG,0,Josh Jacobs,RB,GB,3.762913096695229,17.96116504854369,2.681315789473685,206,817,3.966019417475728,12,00-0035700,Joshua,Jacobs,8,J.Jacobs,807.5468354471768,-5.546835447176818,-0.027324312547669052,0.4187192118226601
2025,REG,0,Chase Brown,RB,CIN,3.628596973865199,15.69767441860465,2.7299615384615374,172,727,4.226744186046512,3,00-0038597,Chase,Brown,30,C.Brown,681.5740947143947,45.42590528560527,0.26410410049770505,0.43023255813953487
2025,REG,0,Chuba Hubbard,RB,CAR,3.661778290993072,18.91891891891892,2.587292452830188,111,433,3.900900900900901,1,00-0036555,Chuba,Hubbard,30,C.Hubbard,468.69735169535255,-40.69735169535255,-0.3733701990399317,0.3853211009174312
2025,REG,0,Rhamondre Stevenson,RB,NE,4.672438271604939,27.722772277227726,2.6679540229885053,101,324,3.207920792079208,3,00-0036875,Rhamondre,Stevenson,38,R.Stevenson,310.96614345748077,13.033856542519231,0.13033856542519232,0.41
2025,REG,0,Rachaad White,RB,TB,3.7162447257383975,22.22222222222222,2.7315267857142858,117,474,4.051282051282051,4,00-0037256,Rachaad,White,1,R.White,485.6379083102509,-26.637908310250907,-0.2357337018606275,0.36283185840707965
2025,REG,0,Breece Hall,RB,NYJ,3.8887100456620995,29.5,2.7420289017341033,200,876,4.38,3,00-0038120,Breece,Hall,20,B.Hall,767.257544097592,108.74245590240798,0.5437122795120399,0.415
