season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2025,REG,0,Tre Tucker,WR,LV,7.622318840579711,3.7856331502133793,10.558055555555557,29.38677367104658,46,72,63.888888888888886,574,5,5.310434782608695,5.104545246125444,0.2058895364832507,00-0038563,Tre,Tucker,1,T.Tucker
2025,REG,0,Luther Burden III,WR,CHI,7.1172972972972985,4.473765774882603,7.2177500000000006,8.498844585743514,30,40,75.0,395,1,7.120666666666667,5.947574249899247,1.1730924167674193,00-0040735,Luther,Burden,10,L.Burden
2025,REG,0,Josh Downs,WR,IND,7.11,2.5128322508482075,6.948307692307692,13.837306559883327,44,65,67.6923076923077,386,3,2.297045454545454,2.2073484852428304,0.0896969693026235,00-0038997,Joshua,Downs,2,J.Downs
2025,REG,0,Jordan Addison,WR,MIN,7.086764705882353,2.7347270513934023,13.844571428571431,30.774507002000572,37,70,52.85714285714286,510,3,3.4970270270270265,2.7079375703319544,0.7890894566950721,00-0038994,Jordan,Addison,3,J.Addison
2025,REG,0,Travis Hunter,WR,JAX,7.03475,3.318525980266503,7.594666666666665,9.491408686571889,28,45,62.22222222222222,298,1,5.498928571428571,4.736819089659643,0.7621094817689285,00-0040718,Travis,Hunter,12,T.Hunter
2025,REG,0,Chris Olave,WR,NO,6.852869565217392,2.915538553748737,11.247833333333334,38.85496820475619,76,120,63.33333333333333,811,5,2.617763157894737,3.5296561089208116,-0.9118929510260747,00-0037239,Chris,Olave,12,C.Olave
2025,REG,0,Evan Engram,TE,DEN,6.827499999999999,4.6649379503212645,4.394918032786886,7.946798041238337,40,61,65.57377049180327,347,1,6.3335,6.0443487394899265,0.28915126051007345,00-0033881,Evan,Engram,1,E.Engram
2025,REG,0,Kendrick Bourne,WR,SF,6.779512195121952,2.9490956174988434,10.488372093023255,14.53104359313078,31,43,72.09302325581395,482,0,5.256774193548388,3.110209636318885,2.146564557229503,00-0033307,Kendrick,Bourne,84,K.Bourne
2025,REG,0,Khalil Shakir,WR,BUF,6.731746031746032,3.7570447703456478,3.746794871794872,10.85926614026939,57,78,73.07692307692307,552,4,7.772631578947368,5.935571802267088,1.83705977668028,00-0037261,Khalil,Shakir,10,K.Shakir
2025,REG,0,Xavier Legette,WR,CAR,6.702040816326531,2.5436093242272015,10.97320754716981,21.297991709024856,28,53,52.83018867924528,287,3,2.599642857142858,3.216625222942568,-0.6169823657997102,00-0039342,Xavier,Legette,17,X.Legette
2025,REG,0,Parker Washington,WR,JAX,6.700806451612903,2.326300260091975,12.069523809523812,21.117384530359125,36,63,57.14285714285714,447,3,3.795555555555556,2.840691140021625,0.954864415533931,00-0038606,Christopher,Washington,11,P.Washington
2025,REG,0,DJ Moore,WR,CHI,6.627586206896552,3.6039249211207625,10.051363636363636,19.528414359517818,39,66,59.09090909090909,487,3,5.416153846153846,4.554409835946823,0.8617440102070235,00-0034827,Denniston,Moore,2,D.Moore
2025,REG,0,Ricky Pearsall,WR,SF,6.606388888888889,2.0367426846580137,14.618684210526316,17.89831491445694,25,38,65.78947368421053,347,0,1.6836000000000002,2.187758207012185,-0.5041582070121846,00-0039916,Ricky,Pearsall,1,R.Pearsall
2025,REG,0,Tyler Lockett,WR,LV,6.602820512820513,2.8870639502003863,7.545365853658538,10.121678701483113,26,41,63.41463414634146,261,0,3.3242307692307684,4.365809035828229,-1.0415782665974604,00-0032211,Tyler,Lockett,17,T.Lockett
2025,REG,0,Michael Pittman,WR,IND,6.5962637362637375,2.931189316890209,7.76968085106383,22.376399003655102,69,94,73.40425531914893,699,7,3.7785507246376806,3.5154194501176215,0.26313127452005913,00-0036252,Michael,Pittman,11,M.Pittman
2025,REG,0,Wan'Dale Robinson,WR,NYG,6.5835869565217395,3.2629561719698934,8.565727272727274,26.61178032282208,73,110,66.36363636363637,828,3,4.765890410958905,4.26551965328914,0.5003707576697645,00-0038117,Charles,Robinson,17,W.Robinson
2025,REG,0,Jakobi Meyers,WR,JAX,6.57917808219178,2.966082456038006,9.180125,28.390565986678567,55,80,68.75,636,3,4.698545454545455,3.7816939603451805,0.9168514942002743,00-0034960,Jakobi,Meyers,3,J.Meyers
2025,REG,0,Terry McLaurin,WR,WAS,6.555121951219512,2.4561129702793623,14.518048780487804,19.198503443048594,23,41,56.09756097560976,340,2,2.5156521739130437,2.53281254308783,-0.01716036917478636,00-0035659,Terry,McLaurin,17,T.McLaurin
2025,REG,0,Troy Franklin,WR,DEN,6.538500000000001,2.9493859917845735,13.289772727272727,34.666642952845066,51,88,57.95454545454546,541,5,4.583333333333333,4.303154639118891,0.28017869421444175,00-0039868,Troy,Franklin,11,T.Franklin
2025,REG,0,Zay Flowers,WR,BAL,6.518505747126436,3.700376481467946,9.28221052631579,31.35703516158398,68,95,71.57894736842105,891,1,5.687499999999999,5.392841584545405,0.29465841545459437,00-0039064,Xavien,Flowers,4,Z.Flowers
2025,REG,0,Marquise Brown,WR,KC,6.493620689655173,3.223319940399422,10.591774193548385,18.686969289958334,42,62,67.74193548387096,494,5,3.7904761904761903,4.50546631778911,-0.7149901273129196,00-0035662,Marquise,Brown,5,M.Brown
